Y;RX1;X1_1;X1_2;X1_3;X1_4;X1_5;X2;X3;RX4;X4_1;X4_2;X4_3;X4_4;X5_1;X5_2;X5_3;X5_4;X5_5;RX5;X6_1;X6_2;X6_3;X6_4;X6_5;X6_6;X6_7;X7;X8;X9;RX10;X10_1;X10_2;X10_3;RX11;X11_1;X11_2;X11_3;X11_4;RX12;X12_1;X12_2;X12_3;X13;X14_1;X14_2;X14_3;RX15;X15_1;X15_2;X15_3;X15_4;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29
0;1;1;0;0;0;0;0.574920063;0.31417495;0.333333333;0;0;1;0;0;0;1;0;0;0.25;0;1;0;0;0;0;0;0.632653061;0.607843137;0.269522024;0.5;0;1;0;0;0;1;0;0;1;1;0;0;0.483119398;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0.25;0;0;0;0;1;0;1
0;0.5;0;0;1;0;0;0.389598669;0.294186487;0.333333333;0;0;1;0;0;1;0;0;0;0.5;0;1;0;0;0;0;0;0.408163265;0.411764706;0.215798096;0;0;0;1;0;0;1;0;0;0;0;1;0;0.257515015;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0.75;0;0;1;1;1;1;0
0;0.5;0;0;1;0;0;0.290006076;0.348907638;0.333333333;0;0;1;0;1;0;0;0;0;0.75;1;0;0;0;0;0;0;0.693877551;0.647058824;0.44005667;0.5;0;1;0;0.333333333;0;0;1;0;0.5;0;0;1;0.375607989;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1
0;0.5;0;0;1;0;0;0.472508492;0.398334651;0;0;1;0;0;1;0;0;0;0;0.75;0;0;0;0;0;0;1;0.591836735;0.588235294;0.45682956;0.5;0;1;0;0;0;1;0;0;0.5;0;0;1;0.250286794;0;0;1;0.666666667;1;0;0;0;1;0;1;1;1;1;0.75;0.5;0;0;0;1;1;0
0;0.5;0;0;1;0;0;0.746215298;0.614475953;0.333333333;0;0;1;0;1;0;0;0;0;0.75;0;0;1;0;0;0;0;0.714285714;0.68627451;0.458328206;1;1;0;0;1;1;0;0;0;1;1;0;0;0.72260765;0;1;0;0.666666667;1;0;0;0;1;1;0;1;0;0;0.5;0;0;0;0;0;1;0
0;0.5;0;0;1;0;0;0.869452441;0.919592888;0.333333333;0;0;1;0;0;0;1;0;0;0.25;1;0;0;0;0;0;0;0.469387755;0.470588235;0.432749677;0;0;0;1;0;0;1;0;0;1;1;0;0;0.342849718;1;0;0;0.666666667;1;0;0;0;1;1;1;1;1;0;0.5;0;0.25;0;1;1;1;0
0;0.25;0;0;0;1;0;0.478485123;0.568080952;0.666666667;0;0;0;1;0;0;1;0;0;0.25;1;0;0;0;0;0;0;0.469387755;0.411764706;0.475228207;0.5;0;1;0;1;1;0;0;0;0;0;1;0;0.534709029;0;0;1;0.666666667;1;0;0;0;1;1;1;1;0;0;0.25;0.5;0;1;0;1;1;0
0;0.5;0;0;1;0;0;0.50919704;0.568946477;0.333333333;0;0;1;0;1;0;0;0;0;0.75;0;1;0;0;0;0;0;0.816326531;0.764705882;0.242522501;1;1;0;0;0;0;1;0;0;0.5;0;0;1;0.707608394;0;0;1;0.666666667;1;0;0;0;1;1;1;0;0;1;0.25;0;0.25;1;0;1;1;1
0;0.5;0;0;1;0;0;0.868657549;0.50840605;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.87755102;0.843137255;0.666840265;0.5;0;1;0;0.666666667;0;0;0;1;1;1;0;0;0.50063229;1;0;0;1;0;1;0;0;1;1;0;1;1;1;0.5;0;0;0;0;1;1;1
0;0.5;0;0;1;0;0;0.760602046;0.783109012;1;1;0;0;0;1;0;0;0;0;0.75;0;0;0;0;0;0;1;0.265306122;0.215686275;0.565058362;0.5;0;1;0;0.333333333;0;0;1;0;1;1;0;0;0.56241549;0;1;0;0.666666667;1;0;0;0;1;0;0;1;0;0;0.75;0;0;0;1;0;0;0
